ctime,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.1610010000,-2.5000000000,-2.2273108945,-2.2268558552,3.7211854216,3.7208480333
0.1620010000,-2.4950000000,-2.2207166714,-2.2202603197,3.7101934027,3.7098550510
0.1630010000,-2.4900000000,-2.2141227300,-2.2136650582,3.6992018439,3.6988625232
0.1640010000,-2.4850000000,-2.2075290721,-2.2070700725,3.6882107476,3.6878704525
0.1650010000,-2.4800000000,-2.2009356992,-2.2004753642,3.6772201168,3.6768788414
0.1660010000,-2.4750000000,-2.1943426131,-2.1938809347,3.6662299540,3.6658876928
0.1670010000,-2.4700000000,-2.1877498155,-2.1872867859,3.6552402622,3.6548970093
0.1680010000,-2.4650000000,-2.1811573082,-2.1806929194,3.6442510440,3.6439067938
0.1690010000,-2.4600000000,-2.1745650927,-2.1740993368,3.6332623023,3.6329170488
0.1700010000,-2.4550000000,-2.1679731711,-2.1675060398,3.6222740400,3.6219277773
0.1710010000,-2.4500000000,-2.1613815449,-2.1609130301,3.6112862598,3.6109389821
0.1720010000,-2.4450000000,-2.1547902160,-2.1543203095,3.6002989647,3.5999506660
0.1730010000,-2.4400000000,-2.1481991862,-2.1477278797,3.5893121577,3.5889628318
0.1740010000,-2.4350000000,-2.1416084573,-2.1411357424,3.5783258416,3.5779754825
0.1750010000,-2.4300000000,-2.1350180312,-2.1345438994,3.5673400195,3.5669886209
0.1760010000,-2.4250000000,-2.1284279097,-2.1279523525,3.5563546942,3.5560022501
0.1770010000,-2.4200000000,-2.1218380947,-2.1213611034,3.5453698690,3.5450163729
0.1780010000,-2.4150000000,-2.1152485881,-2.1147701540,3.5343855467,3.5340309925
0.1790010000,-2.4100000000,-2.1086593917,-2.1081795062,3.5234017306,3.5230461117
0.1800010000,-2.4050000000,-2.1020705076,-2.1015891617,3.5124184236,3.5120617337
0.1810010000,-2.4000000000,-2.0954819377,-2.0949991224,3.5014356290,3.5010778616
0.1820010000,-2.3950000000,-2.0888936839,-2.0884093903,3.4904533499,3.4900944984
0.1830010000,-2.3900000000,-2.0823057482,-2.0818199671,3.4794715895,3.4791116473
0.1840010000,-2.3850000000,-2.0757181327,-2.0752308549,3.4684903511,3.4681293114
0.1850010000,-2.3800000000,-2.0691308392,-2.0686420555,3.4575096378,3.4571474940
0.1860010000,-2.3750000000,-2.0625438700,-2.0620535710,3.4465294530,3.4461661983
0.1870010000,-2.3700000000,-2.0559572269,-2.0554654032,3.4355498000,3.4351854275
0.1880010000,-2.3650000000,-2.0493709122,-2.0488775542,3.4245706822,3.4242051849
0.1890010000,-2.3600000000,-2.0427849278,-2.0422900259,3.4135921029,3.4132254738
0.1900010000,-2.3550000000,-2.0361992760,-2.0357028205,3.4026140655,3.4022462977
0.1910010000,-2.3500000000,-2.0296139588,-2.0291159399,3.3916365735,3.3912676597
0.1920010000,-2.3450000000,-2.0230289785,-2.0225293862,3.3806596304,3.3802895635
0.1930010000,-2.3400000000,-2.0164443371,-2.0159431615,3.3696832397,3.3693120124
0.1940010000,-2.3350000000,-2.0098600369,-2.0093572679,3.3587074048,3.3583350098
0.1950010000,-2.3300000000,-2.0032760801,-2.0027717075,3.3477321295,3.3473585593
0.1960010000,-2.3250000000,-1.9966924690,-1.9961864824,3.3367574173,3.3363826645
0.1970010000,-2.3200000000,-1.9901092058,-1.9896015949,3.3257832718,3.3254073289
0.1980010000,-2.3150000000,-1.9835262928,-1.9830170472,3.3148096968,3.3144325562
0.1990010000,-2.3100000000,-1.9769437323,-1.9764328413,3.3038366960,3.3034583499
0.2000010000,-2.3050000000,-1.9703615267,-1.9698489796,3.2928642731,3.2924847137
0.2010010000,-2.3000000000,-1.9637796782,-1.9632654643,3.2818924318,3.2815116514
0.2020010000,-2.2950000000,-1.9571981893,-1.9566822976,3.2709211762,3.2705391668
0.2030010000,-2.2900000000,-1.9506170624,-1.9500994820,3.2599505099,3.2595672636
0.2040010000,-2.2850000000,-1.9440362999,-1.9435170196,3.2489804369,3.2485959456
0.2050010000,-2.2800000000,-1.9374559043,-1.9369349128,3.2380109612,3.2376252167
0.2060010000,-2.2750000000,-1.9308758780,-1.9303531640,3.2270420868,3.2266550809
0.2070010000,-2.2700000000,-1.9242962235,-1.9237717756,3.2160738176,3.2156855419
0.2080010000,-2.2650000000,-1.9177169433,-1.9171907500,3.2051061577,3.2047166040
0.2090010000,-2.2600000000,-1.9111380401,-1.9106100897,3.1941391113,3.1937482710
0.2100010000,-2.2550000000,-1.9045595163,-1.9040297969,3.1831726824,3.1827805470
0.2110010000,-2.2500000000,-1.8979813747,-1.8974498744,3.1722068754,3.1718134361
0.2120010000,-2.2450000000,-1.8914036177,-1.8908703245,3.1612416943,3.1608469425
0.2130010000,-2.2400000000,-1.8848262481,-1.8842911499,3.1502771435,3.1498810703
0.2140010000,-2.2350000000,-1.8782492686,-1.8777123530,3.1393132272,3.1389158239
0.2150010000,-2.2300000000,-1.8716726818,-1.8711339365,3.1283499500,3.1279512073
0.2160010000,-2.2250000000,-1.8650964905,-1.8645559029,3.1173873160,3.1169872251
0.2170010000,-2.2200000000,-1.8585206976,-1.8579782549,3.1064253299,3.1060238814
0.2180010000,-2.2150000000,-1.8519453056,-1.8514009953,3.0954639961,3.0950611808
0.2190010000,-2.2100000000,-1.8453703176,-1.8448241266,3.0845033192,3.0840991277
0.2200010000,-2.2050000000,-1.8387957364,-1.8382476515,3.0735433036,3.0731377265
0.2210010000,-2.2000000000,-1.8322215648,-1.8316715730,3.0625839542,3.0621769819
0.2220010000,-2.1950000000,-1.8256478057,-1.8250958936,3.0516252755,3.0512168983
0.2230010000,-2.1900000000,-1.8190744622,-1.8185206163,3.0406672724,3.0402574805
0.2240010000,-2.1850000000,-1.8125015372,-1.8119457439,3.0297099495,3.0292987331
0.2250010000,-2.1800000000,-1.8059290336,-1.8053712792,3.0187533118,3.0183406609
0.2260010000,-2.1750000000,-1.7993569546,-1.7987972251,3.0077973641,3.0073832686
0.2270010000,-2.1700000000,-1.7927853033,-1.7922235847,2.9968421113,2.9964265611
0.2280010000,-2.1650000000,-1.7862140827,-1.7856503607,2.9858875586,2.9854705433
0.2290010000,-2.1600000000,-1.7796432960,-1.7790775563,2.9749337108,2.9745152201
0.2300010000,-2.1550000000,-1.7730729463,-1.7725051744,2.9639805732,2.9635605964
0.2310010000,-2.1500000000,-1.7665030369,-1.7659332181,2.9530281508,2.9526066775
0.2320010000,-2.1450000000,-1.7599335711,-1.7593616906,2.9420764489,2.9416534683
0.2330010000,-2.1400000000,-1.7533645521,-1.7527905948,2.9311254728,2.9307009740
0.2340010000,-2.1350000000,-1.7467959832,-1.7462199340,2.9201752277,2.9197491998
0.2350010000,-2.1300000000,-1.7402278678,-1.7396497115,2.9092257192,2.9087981510
0.2360010000,-2.1250000000,-1.7336602093,-1.7330799303,2.8982769526,2.8978478329
0.2370010000,-2.1200000000,-1.7270930112,-1.7265105937,2.8873289334,2.8868982509
0.2380010000,-2.1150000000,-1.7205262768,-1.7199417052,2.8763816672,2.8759494104
0.2390010000,-2.1100000000,-1.7139600098,-1.7133732679,2.8654351596,2.8650013170
0.2400010000,-2.1050000000,-1.7073942136,-1.7068052854,2.8544894164,2.8540539762
0.2410010000,-2.1000000000,-1.7008288919,-1.7002377609,2.8435444432,2.8431073937
0.2420010000,-2.0950000000,-1.6942640483,-1.6936706979,2.8326002460,2.8321615751
0.2430010000,-2.0900000000,-1.6876996864,-1.6871041000,2.8216568306,2.8212165261
0.2440010000,-2.0850000000,-1.6811358101,-1.6805379706,2.8107142029,2.8102722527
0.2450010000,-2.0800000000,-1.6745724229,-1.6739723134,2.7997723690,2.7993287607
0.2460010000,-2.0750000000,-1.6680095289,-1.6674071319,2.7888313350,2.7883860560
0.2470010000,-2.0700000000,-1.6614471317,-1.6608424298,2.7778911070,2.7774441447
0.2480010000,-2.0650000000,-1.6548852354,-1.6542782107,2.7669516912,2.7665030328
0.2490010000,-2.0600000000,-1.6483238437,-1.6477144784,2.7560130940,2.7555627266
0.2500010000,-2.0550000000,-1.6417629608,-1.6411512368,2.7450753218,2.7446232322
0.2510010000,-2.0500000000,-1.6352025907,-1.6345884895,2.7341383810,2.7336845559
0.2520010000,-2.0450000000,-1.6286427374,-1.6280262405,2.7232022781,2.7227467042
0.2530010000,-2.0400000000,-1.6220834050,-1.6214644937,2.7122670198,2.7118096834
0.2540010000,-2.0350000000,-1.6155245978,-1.6149032531,2.7013326126,2.7008735001
0.2550010000,-2.0300000000,-1.6089663199,-1.6083425225,2.6903990635,2.6899381610
0.2560010000,-2.0250000000,-1.6024085757,-1.6017823062,2.6794663792,2.6790036726
0.2570010000,-2.0200000000,-1.5958513694,-1.5952226082,2.6685345666,2.6680700417
0.2580010000,-2.0150000000,-1.5892947055,-1.5886634326,2.6576036328,2.6571372752
0.2590010000,-2.0100000000,-1.5827385885,-1.5821047836,2.6466735848,2.6462053800
0.2600010000,-2.0050000000,-1.5761830227,-1.5755466656,2.6357444298,2.6352743631
0.2610010000,-2.0000000000,-1.5696280127,-1.5689890827,2.6248161752,2.6243442316
0.2620010000,-1.9950000000,-1.5630735631,-1.5624320394,2.6138888281,2.6134149927
0.2630010000,-1.9900000000,-1.5565196787,-1.5558755400,2.6029623962,2.6024866536
0.2640010000,-1.9850000000,-1.5499663641,-1.5493195890,2.5920368869,2.5915592216
0.2650010000,-1.9800000000,-1.5434136240,-1.5427641909,2.5811123078,2.5806327042
0.2660010000,-1.9750000000,-1.5368614634,-1.5362093503,2.5701886666,2.5697071090
0.2670010000,-1.9700000000,-1.5303098871,-1.5296550719,2.5592659713,2.5587824435
0.2680010000,-1.9650000000,-1.5237589001,-1.5231013602,2.5483442296,2.5478587155
0.2690010000,-1.9600000000,-1.5172085073,-1.5165482200,2.5374234496,2.5369359328
0.2700010000,-1.9550000000,-1.5106587140,-1.5099956562,2.5265036395,2.5260141033
0.2710010000,-1.9500000000,-1.5041095252,-1.5034436736,2.5155848073,2.5150932350
0.2720010000,-1.9450000000,-1.4975609461,-1.4968922770,2.5046669616,2.5041733360
0.2730010000,-1.9400000000,-1.4910129821,-1.4903414716,2.4937501106,2.4932544145
0.2740010000,-1.9350000000,-1.4844656385,-1.4837912623,2.4828342629,2.4823364788
0.2750010000,-1.9300000000,-1.4779189206,-1.4772416543,2.4719194271,2.4714195374
0.2760010000,-1.9250000000,-1.4713728341,-1.4706926527,2.4610056121,2.4605035988
0.2770010000,-1.9200000000,-1.4648273845,-1.4641442628,2.4500928266,2.4495886716
0.2780010000,-1.9150000000,-1.4582825773,-1.4575964898,2.4391810797,2.4386747646
0.2790010000,-1.9100000000,-1.4517384184,-1.4510493393,2.4282703805,2.4277618866
0.2800010000,-1.9050000000,-1.4451949135,-1.4445028165,2.4173607381,2.4168500467
0.2810010000,-1.9000000000,-1.4386520684,-1.4379569271,2.4064521619,2.4059392538
0.2820010000,-1.8950000000,-1.4321098892,-1.4314116767,2.3955446614,2.3950295173
0.2830010000,-1.8900000000,-1.4255683818,-1.4248670708,2.3846382461,2.3841208464
0.2840010000,-1.8850000000,-1.4190275523,-1.4183231153,2.3737329259,2.3732132506
0.2850010000,-1.8800000000,-1.4124874070,-1.4117798159,2.3628287104,2.3623067396
0.2860010000,-1.8750000000,-1.4059479521,-1.4052371786,2.3519256098,2.3514013229
0.2870010000,-1.8700000000,-1.3994091940,-1.3986952094,2.3410236340,2.3404970105
0.2880010000,-1.8650000000,-1.3928711391,-1.3921539143,2.3301227935,2.3295938123
0.2890010000,-1.8600000000,-1.3863337940,-1.3856132994,2.3192230985,2.3186917385
0.2900010000,-1.8550000000,-1.3797971652,-1.3790733709,2.3083245596,2.3077907992
0.2910010000,-1.8500000000,-1.3732612595,-1.3725341353,2.2974271874,2.2968910049
0.2920010000,-1.8450000000,-1.3667260838,-1.3659955988,2.2865309929,2.2859923661
0.2930010000,-1.8400000000,-1.3601916449,-1.3594577679,2.2756359869,2.2750948934
0.2940010000,-1.8350000000,-1.3536579498,-1.3529206493,2.2647421806,2.2641985978
0.2950010000,-1.8300000000,-1.3471250056,-1.3463842496,2.2538495853,2.2533034901
0.2960010000,-1.8250000000,-1.3405928196,-1.3398485756,2.2429582124,2.2424095814
0.2970010000,-1.8200000000,-1.3340613991,-1.3333136340,2.2320680735,2.2315168831
0.2980010000,-1.8150000000,-1.3275307514,-1.3267794319,2.2211791805,2.2206254067
0.2990010000,-1.8100000000,-1.3210008841,-1.3202459763,2.2102915451,2.2097351635
0.3000010000,-1.8050000000,-1.3144718049,-1.3137132744,2.1994051796,2.1988461656
0.3010010000,-1.8000000000,-1.3079435214,-1.3071813333,2.1885200962,2.1879584247
0.3020010000,-1.7950000000,-1.3014160416,-1.3006501606,2.1776363074,2.1770719530
0.3030010000,-1.7900000000,-1.2948893734,-1.2941197635,2.1667538257,2.1661867628
