time,pulldown_on,pulldown_off,pullup_on,pullup_off
1.87500000e-09,3.34864698,3.29116846,-7.9309905e-03,0.18036351
1.90000000e-09,3.34908829,3.29121017,-8.1880313e-03,0.15854614
1.92500000e-09,3.34947469,3.29119073,-8.4456654e-03,0.13859675
1.95000000e-09,3.34981581,3.29112403,-8.7005707e-03,0.12050847
1.97500000e-09,3.35012742,3.29102244,-8.9500752e-03,0.10424972
2.00000000e-09,3.35043961,3.29089018,-9.1919971e-03,8.9805520e-02
2.02500000e-09,3.35082584,3.29073443,-9.4244875e-03,7.7083612e-02
2.05000000e-09,3.35117274,3.29056477,-9.6458731e-03,6.6000439e-02
2.07500000e-09,3.35033180,3.29038556,-9.8544822e-03,5.6480616e-02
2.10000000e-09,3.34731569,3.29020033,-1.0048425e-02,4.8425069e-02
2.12500000e-09,3.34367442,3.29001196,-1.0225270e-02,4.1698929e-02
2.15000000e-09,3.34035374,3.28982270,-1.0381502e-02,3.6112287e-02
2.17500000e-09,3.33736600,3.28963434,-1.0511490e-02,3.2095922e-02
2.20000000e-09,3.33466143,3.28944827,-1.0605271e-02,2.9266151e-02
2.22500000e-09,3.33219651,3.28926555,-1.0643098e-02,2.6956934e-02
2.25000000e-09,3.32993798,3.28908697,-1.0579396e-02,2.4948909e-02
2.27500000e-09,3.32786055,3.28891310,-1.0283129e-02,2.3158092e-02
2.30000000e-09,3.32594456,3.28874434,-9.9469620e-03,2.1540716e-02
2.32500000e-09,3.32417430,3.28858094,-9.8127193e-03,2.0069062e-02
2.35000000e-09,3.32253680,3.28842300,-9.6618518e-03,1.8723528e-02
2.37500000e-09,3.32102105,3.28827056,-9.3745602e-03,1.7489375e-02
2.40000000e-09,3.31961744,3.28812352,-8.8891743e-03,1.6355078e-02
2.42500000e-09,3.31831734,3.28798173,-8.1692518e-03,1.5311342e-02
2.45000000e-09,3.31711285,3.28784492,-7.1915905e-03,1.4350476e-02
2.47500000e-09,3.31599646,3.28771273,-5.9410176e-03,1.3465954e-02
2.50000000e-09,3.31496075,3.28758463,-4.4077214e-03,1.2652132e-02
2.52500000e-09,3.31399795,3.28745988,-2.5856952e-03,1.1904063e-02
2.55000000e-09,3.31309884,3.28733731,-4.7173271e-04,1.1217395e-02
2.57500000e-09,3.31225012,3.28721492,1.9354223e-03,1.0588368e-02
2.60000000e-09,3.31142498,3.28708873,4.6351574e-03,1.0013929e-02
2.62500000e-09,3.31060603,3.28694861,7.6256202e-03,9.4921218e-03
2.65000000e-09,3.30985250,3.28673545,1.0904162e-02,9.0232360e-03
2.67500000e-09,3.30904950,3.28612401,1.4467415e-02,8.6140162e-03
2.70000000e-09,3.30808165,3.28524898,1.8311463e-02,8.3030629e-03
2.72500000e-09,3.30686925,3.28439629,2.2431983e-02,8.3605083e-03
2.75000000e-09,3.30535510,3.28364529,2.6824346e-02,8.7233517e-03
2.77500000e-09,3.30349775,3.28302977,3.1483705e-02,9.0747956e-03
2.80000000e-09,3.30126737,3.28254882,3.6405061e-02,9.3243946e-03
2.82500000e-09,3.29864314,3.28218207,4.1583315e-02,9.4255667e-03
2.85000000e-09,3.29561332,3.28191130,4.7013308e-02,9.4063454e-03
2.87500000e-09,3.29217176,3.28172068,5.2689852e-02,9.3081650e-03
2.90000000e-09,3.28831596,3.28159665,5.8607758e-02,9.1589951e-03
2.92500000e-09,3.28404684,3.28152762,6.4762325e-02,8.9781503e-03
2.95000000e-09,3.27936795,3.28150378,7.1148346e-02,8.7791239e-03
2.97500000e-09,3.27428486,3.28151682,7.7759449e-02,8.5713652e-03
3.00000000e-09,3.26880466,3.28155976,8.4589487e-02,8.3614465e-03
3.02500000e-09,3.26293557,3.28162729,9.1632348e-02,8.1538641e-03
3.05000000e-09,3.25668663,3.28171534,9.8881291e-02,7.9516080e-03
3.07500000e-09,3.25006745,3.28181961,0.10634215,7.7565760e-03
3.10000000e-09,3.24308842,3.28193643,0.11400705,7.5698803e-03
3.12500000e-09,3.23576116,3.28206281,0.12186344,7.3920741e-03
3.15000000e-09,3.22809833,3.28219633,0.12990751,7.2231527e-03
3.17500000e-09,3.22011345,3.28233498,0.13813523,7.0623369e-03
3.20000000e-09,3.21182091,3.28247716,0.14654254,6.9088338e-03
3.22500000e-09,3.20323672,3.28262157,0.15512539,6.7620738e-03
3.25000000e-09,3.19435981,3.28276714,0.16387978,6.6215887e-03
3.27500000e-09,3.18520680,3.28291304,0.17280181,6.4869574e-03
3.30000000e-09,3.17580270,3.28305860,0.18188766,6.3577834e-03
3.32500000e-09,3.16616077,3.28320328,0.19113359,6.2336897e-03
3.35000000e-09,3.15629452,3.28334666,0.20053600,6.1143170e-03
3.37500000e-09,3.14621747,3.28348843,0.21009137,5.9993256e-03
3.40000000e-09,3.13594311,3.28362832,0.21979702,5.8883960e-03
3.42500000e-09,3.12548476,3.28376616,0.22964922,5.7812303e-03
3.45000000e-09,3.11485559,3.28390181,0.23964190,5.6775523e-03
3.47500000e-09,3.10406852,3.28403517,0.24976838,5.5771070e-03
3.50000000e-09,3.09313628,3.28416616,0.26002160,5.4796600e-03
3.52500000e-09,3.08207129,3.28429476,0.27039417,5.3849968e-03
3.55000000e-09,3.07088572,3.28442184,0.28087844,5.2929214e-03
3.57500000e-09,3.05959145,3.28454952,0.29146660,5.2032553e-03
3.60000000e-09,3.04820006,3.28467855,0.30215069,5.1158358e-03
3.62500000e-09,3.03672281,3.28480930,0.31292267,5.0305152e-03
3.65000000e-09,3.02517067,3.28494205,0.32377444,4.9471595e-03
3.67500000e-09,3.01355428,3.28507695,0.33469785,4.8656468e-03
3.70000000e-09,3.00188395,3.28521410,0.34568476,4.7858667e-03
3.72500000e-09,2.99016967,3.28535353,0.35672706,4.7077192e-03
3.75000000e-09,2.97842110,3.28549526,0.36781666,4.6311134e-03
3.77500000e-09,2.96664759,3.28563924,0.37894553,4.5559670e-03
3.80000000e-09,2.95485814,3.28578542,0.39010572,4.4822054e-03
3.82500000e-09,2.94306143,3.28593372,0.40128936,4.4097608e-03
3.85000000e-09,2.93126582,3.28608407,0.41248868,4.3385718e-03
3.87500000e-09,2.91947934,3.28623637,0.42369603,4.2685827e-03
3.90000000e-09,2.90770972,3.28639052,0.43490391,4.1997429e-03
3.92500000e-09,2.89596433,3.28654642,0.44610494,4.1320064e-03
3.95000000e-09,2.88425028,3.28670397,0.45729189,4.0653315e-03
3.97500000e-09,2.87257433,3.28686305,0.46845770,3.9996801e-03
4.00000000e-09,2.86094297,3.28702357,0.47959549,3.9350178e-03
4.02500000e-09,2.84936236,3.28718540,0.49069855,3.8713132e-03
4.05000000e-09,2.83783840,3.28734844,0.50176037,3.8085375e-03
4.07500000e-09,2.82637668,3.28751259,0.51277462,3.7466647e-03
4.10000000e-09,2.81498252,3.28767772,0.52373519,3.6856709e-03
4.12500000e-09,2.80366098,3.28784373,0.53463617,3.6255344e-03
4.15000000e-09,2.79241685,3.28801052,0.54547188,3.5662353e-03
4.17500000e-09,2.78125467,3.28817797,0.55623683,3.5077552e-03
4.20000000e-09,2.77017877,3.28834597,0.56692578,3.4500775e-03
4.22500000e-09,2.75919324,3.28851443,0.57753369,3.3931868e-03
4.25000000e-09,2.74830202,3.28868323,0.58805577,3.3370689e-03
4.27500000e-09,2.73750899,3.28885227,0.59848744,3.2817108e-03
4.30000000e-09,2.72681809,3.28902145,0.60882436,3.2271005e-03
4.32500000e-09,2.71623373,3.28919067,0.61906242,3.1732266e-03
4.35000000e-09,2.70575832,3.28935983,0.62919773,3.1200788e-03
4.37500000e-09,2.69539016,3.28952882,0.63922664,3.0676474e-03
4.40000000e-09,2.68512974,3.28969757,0.64914571,3.0159235e-03
4.42500000e-09,2.67497953,3.28986596,0.65895174,2.9648983e-03
4.45000000e-09,2.66494230,3.29003391,0.66864175,2.9145640e-03
